suggested_id,name,parent_id,parent_name,year_start,year_end,region,n_opere,lotti,opere_esempio
pisanello-corti-italiane,"Pisanello e la pittura cortese tardogotica nelle corti italiane (Verona, Mantova, Ferrara)",gotico-cortese,Gotico cortese (Gotico internazionale),1433,1449,"['Verona', 'Mantova', 'Ferrara', 'Italia settentrionale']",6,7,San Giorgio e la principessa; Ritratto di principessa; Visione di sant'Eustachio
durer-maturita,Albrecht Dürer: maturità (Venezia e Norimberga),rinasc-nordico,Rinascimento nordico,1506,1516,"['Norimberga', 'Venezia', 'Germania']",6,10,La festa del Rosario; Cattura di Cristo (dalla Grande Passione); Piccola Passione
corte-cosimo-i-firenze,"Corte di Cosimo I de' Medici a Firenze (Bronzino, Cellini, Bandinelli, Pontormo)",manierismo,Manierismo,1537,1553,"Firenze, Toscana",6,"11,13",Ritratto di Cosimo I come alabardiere; Busto di Cosimo I; Perseo
scuola-di-fontainebleau,Scuola di Fontainebleau (corte di Francesco I),manierismo,Manierismo,1528,1544,"Fontainebleau, Francia",6,"13,14","Camera della duchessa d'Etampes; Elefante trionfale, tributo allegorico a Francesco I; Porte Dorée, Castello di Fontainebleau"
cappella-contarelli-san-luigi,"Cappella Contarelli, San Luigi dei Francesi (Roma)",barocco,Barocco,1591,1602,Roma,6,"13,14",Cappella Contarelli (insieme); Martirio di San Matteo; Matteo resuscita il figlio del re d'Etiopia
scuola-di-maestro-niccolo,Scuola di Maestro Niccolò (Romanico veronese),romanico-italiano,Romanico italiano,1120,1150,"Verona, Veneto",5,3,Basilica di San Zeno; Interno della basilica di San Zeno; Portale bronzeo
bottega-di-gislebertus,Bottega di Gislebertus (Autun),romanico,Romanico,1120,1150,"Autun, Borgogna (Francia)",5,3,Cattedrale di Saint-Lazare ad Autun; Eva nel Paradiso terrestre; Giudizio Universale (timpano del portale d'ingresso)
bottega-gentile-da-fabriano,Bottega di Gentile da Fabriano,gotico-cortese,Gotico cortese (Gotico internazionale),1400,1425,"['Marche', 'Lombardia', 'Veneto', 'Toscana', 'Lazio']",5,6,Polittico di Valle Romita; Veduta di città (frammento); Adorazione dei Magi
cappelle-medicee-michelangelo,Michelangelo e le Cappelle Medicee (Sagrestia Nuova),rinascimento-maturo,Rinascimento maturo,1520,1534,"Firenze, Toscana",5,11,Sacrestia Nuova (con tombe medicee); Tomba di Lorenzo de' Medici duca di Urbino; Madonna con il Bambino (detta Vergine Medicea)
palazzo-te-mantova,Giulio Romano e Palazzo Te a Mantova (corte gonzaghesca),manierismo,Manierismo,1525,1535,"Mantova, Lombardia",5,11,Loggia di Davide (Palazzo Te); Palazzo Te; Camera di Amore e Psiche
arnolfo-di-cambio-firenze,"Arnolfo di Cambio a Firenze (cantiere di Santa Croce, Palazzo dei Priori e opere fiorentine)",gotico-italiano,Gotico italiano (temperato),1294,1310,"Firenze, Toscana",4,5,Basilica di Santa Croce; Ritratto di Bonifacio VIII; Palazzo Vecchio (Palazzo dei Priori)
scuola-avignonese-papale,"Scuola avignonese della corte papale (Simone Martini, Matteo Giovannetti)",gotico-cortese,Gotico cortese (Gotico internazionale),1340,1353,"['Avignone', 'Francia']",4,6,Allegoria virgiliana (frontespizio del Commento di Servio a Virgilio); Ritorno di Gesù dal Tempio (Sacra Famiglia); Scene di caccia al cervo e di pesca (Camera del Cervo)
corte-viscontea-tardogotica,"Arte tardogotica alla corte dei Visconti (Milano, Pavia, Monza, Cremona)",gotico-cortese,Gotico cortese (Gotico internazionale),1441,1447,"['Milano', 'Lombardia', 'Monza', 'Pavia', 'Cremona']",4,7,"Storie della regina Teodolinda; Gli amanti, dal Mazzo di Tarocchi per Filippo Maria Visconti; Regina di bastoni dal Mazzo di Tarocchi"
pirro-ligorio-giardini-laziali,Pirro Ligorio e i giardini manieristi del Lazio (Bomarzo e Tivoli),manierismo,Manierismo,1552,1583,"['Bomarzo', 'Tivoli', 'Lazio']",4,12,La Bocca dell'Orco; Casa pendente; Fontana della Rometta
longobardi-brescia-desideriana,"Brescia longobarda (eta desideriana, San Salvatore)",eta-longobarda,Età longobarda,750,820,"['Brescia', 'Lombardia']",3,1,Chiesa di San Salvatore; Croce di Desiderio; Affreschi del ciclo della navata centrale di San Salvatore
mosaici-eta-pasquale-i,Mosaici romani dell'eta di papa Pasquale I,eta-carolingia,Età carolingia,817,826,Roma,3,2,Decorazione musiva di Santa Prassede; Vergine in trono con il Bambino fra due schiere di angeli e papa Pasquale I; Cristo in gloria e quattro angeli (decorazione della cappella di San Zenone)
ciclo-castelseprio,Ciclo pittorico di Castelseprio,eta-carolingia,Età carolingia,840,870,"Castelseprio, Lombardia",3,2,Annunciazione e Visitazione (particolare della decorazione dell'abside); Ciclo pittorico di Santa Maria foris Portas; Cristo Pantocratore (particolare della decorazione dell'abside)
cantiere-di-saint-denis,Cantiere di Saint-Denis (Abate Suger),gotico-francese,Gotico francese,1130,1151,"Parigi, Île-de-France (Francia)",3,3,Aquila di Suger; Chiesa abbaziale di Saint-Denis; Vetrate dell'abside della chiesa abbaziale di Saint-Denis
romanico-pisano,Romanico pisano (Piazza dei Miracoli),romanico-italiano,Romanico italiano,1152,1350,Pisa (Toscana),3,3,Battistero di San Giovanni Battista; Pulpito di Maestro Guglielmo; Torre campanaria di Pisa (Torre di Pisa)
bottega-coppo-di-marcovaldo,Bottega di Coppo di Marcovaldo,duecento-italiano,Duecento italiano,1260,1275,"Firenze, Siena, San Gimignano (Toscana)",3,4,Crocifisso di San Gimignano; Inferno (decorazione della cupola del battistero); Madonna del Bordone
bottega-jacopo-torriti,Bottega di Jacopo Torriti,duecento-italiano,Duecento italiano,1288,1296,"Assisi, Roma",3,5,"Creazione di Adamo; Volta della Déesis (Assisi, terza campata); Incoronazione della Vergine"
bottega-pietro-cavallini,Bottega di Pietro Cavallini,duecento-italiano,Duecento italiano,1291,1293,Roma,3,5,Giudizio Universale; Mosaici di Santa Maria in Trastevere (ciclo mariano); Presentazione al Tempio
cappella-san-brizio-orvieto,Cappella di San Brizio a Orvieto (Luca Signorelli),rinascimento-maturo,Rinascimento maturo,1499,1502,"Orvieto, Umbria",3,9,Ciclo della cappella di San Brizio; Zoccolatura con ritratto di Ovidio; Resurrezione della carne
fabbrica-san-pietro-cinquecento,Fabbrica di San Pietro in Vaticano (progetti di Antonio da Sangallo il Giovane e Michelangelo),manierismo,Manierismo,1530,1564,"Citta' del Vaticano, Roma",3,"11,12",Pianta della basilica di San Pietro (progetto Antonio da Sangallo il Giovane); Pianta della basilica di San Pietro (progetto Michelangelo); Cupola di San Pietro
ciclo-vera-croce-arezzo,"Ciclo della Leggenda della Vera Croce (Piero della Francesca, Arezzo)",quattrocento,Quattrocento,1452,1466,"Arezzo, Toscana",3,13,Adorazione del sacro Legno; Annunciazione; Battaglia di Eraclio e Cosroe
mantegna-padova,Andrea Mantegna a Padova (bottega dello Squarcione),quattrocento,Quattrocento,1448,1460,"Padova, Veneto",3,13,Orazione di Gesù nell'orto degli ulivi; Martirio di San Sebastiano; Martirio e trasporto del corpo di san Cristoforo (cappella Ovetari)
corte-filippo-ii-escorial,"El Escorial, corte di Filippo II",controriforma,Controriforma,1563,1586,"El Escorial, Spagna",3,13,Monastero di San Lorenzo (El Escorial); Gloria della Trinità; Martirio di san Maurizio
cripta-di-epifanio-volturno,Bottega della cripta di Epifanio (San Vincenzo al Volturno),eta-carolingia,Età carolingia,824,842,"Molise, Italia meridionale",2,2,"Ciclo pittorico della cripta di Epifanio, abbazia di San Vincenzo al Volturno; Crocifissione tra la Vergine, san Giovanni Evangelista e l'abate Epifanio"
bottega-vuolvinio-santambrogio,Bottega carolingia di Sant'Ambrogio (Vuolvinio),eta-carolingia,Età carolingia,824,850,"Milano, Lombardia",2,2,Ciborio; Altare di Sant'Ambrogio (paliotto d'oro)
scuola-di-treviri-ottoniana,Scuola miniaturistica di Treviri (bottega del Registrum Gregorii),arte-ottoniana,Arte ottoniana,977,993,"Treviri, Germania",2,2,Registrum Gregorii (pagina con Gregorio Magno ispirato dallo Spirito Santo); Registrum Gregorii (pagina con Imperatore in trono che riceve l'omaggio delle Quattro Province)
cattedrale-santiago-scuola,Bottega scultorea della cattedrale di Santiago de Compostela,romanico,Romanico,1075,1211,"Santiago de Compostela, Galizia (Spagna)",2,2,Cattedrale di San Giacomo a Santiago de Compostela; Porta degli Orefici
bottega-bernardus-gelduinus-tolosa,"Bottega di Bernardus Gelduinus (Saint-Sernin, Tolosa)",romanico,Romanico,1080,1100,"Tolosa, Francia meridionale",2,2,Collegiata di Saint-Sernin; Ascensione (decorazione del timpano della Porta Miégeville)
marmorari-romani,Marmorari romani (Bottega dei Vassalletto),romanico-italiano,Romanico italiano,1180,1230,"Roma, Lazio",2,3,Candelabro pasquale della basilica di San Paolo fuori le Mura; Chiostro della basilica di San Paolo fuori le Mura
scuola-lucchese-berlinghieri,Scuola lucchese dei Berlinghieri,romanico-italiano,Romanico italiano,1200,1235,"Lucca, Toscana",2,4,Madonna con il Bambino (attribuita a Berlinghiero Berlinghieri); San Francesco e storie della sua vita
monumenti-funebri-napoletani-carbonara,Monumenti funebri tardogotici napoletani (San Giovanni a Carbonara),tardogotico,Tardogotico,1414,1430,"['Napoli', 'Campania']",2,6,Monumento funebre di re Ladislao I; Monumento funebre di Ludovico Aldomorisco
ciclo-castello-della-manta,Ciclo pittorico del Castello della Manta,gotico-cortese,Gotico cortese (Gotico internazionale),1420,1425,"['Saluzzo', 'Piemonte']",2,6,Fontana della giovinezza; Nove eroi e nove eroine
bottega-michelino-da-besozzo,Bottega di Michelino da Besozzo,gotico-cortese,Gotico cortese (Gotico internazionale),1420,1425,"['Lombardia', 'Verona', 'Siena']",2,6,Madonna con il Bambino e santa Caterina (detta Madonna del roseto); Sposalizio mistico di santa Caterina
cantiere-san-petronio-bologna,Cantiere del portale maggiore di San Petronio a Bologna (Jacopo della Quercia),tardogotico,Tardogotico,1425,1438,"['Bologna', 'Emilia-Romagna']",2,7,Portale maggiore della basilica di San Petronio; La Tentazione di Adamo ed Eva (formella del portale di San Petronio)
corte-cardinale-branda-castiglioni,Masolino da Panicale alla corte del cardinale Branda Castiglioni (Roma - Castiglione Olona),gotico-cortese,Gotico cortese (Gotico internazionale),1427,1435,"['Roma', 'Castiglione Olona', 'Lombardia']",2,7,Storie di santa Caterina (cappella Branda Castiglioni); Banchetto di Erode
bottega-piero-della-francesca-sansepolcro,Piero della Francesca a Sansepolcro (esordi),quattrocento,Quattrocento,1437,1462,"['Sansepolcro', 'Toscana', 'Umbria']",2,7,Battesimo di Cristo; Polittico della Misericordia
corte-di-tours-fouquet,Jean Fouquet e la corte reale di Tours,tardogotico,Tardogotico,1450,1455,"['Tours', 'Francia', 'Val della Loira']",2,7,Dittico di Melun; Étienne Chevalier presentato da santo Stefano (scomparto sinistro del Dittico di Melun)
corte-malatestiana-riminese,Corte malatestiana di Rimini (Tempio Malatestiano),quattrocento,Quattrocento,1450,1468,"['Rimini', 'Romagna']",2,8,San Sigismondo e Sigismondo Pandolfo Malatesta; Tempio Malatestiano
antonello-da-messina-sicilia,Antonello da Messina in Sicilia,quattrocento,Quattrocento,1460,1479,"['Messina', 'Palermo', 'Sicilia']",2,14,Ritratto virile (Ritratto d'ignoto marinaio); Vergine Annunziata (annunciazione)
controriforma-milanese-borromea,Controriforma milanese (età borromaica),controriforma,Controriforma,1565,1610,"['Milano', 'Lombardia']",2,14,San Carlo visita gli appestati; Chiesa di San Fedele
el-greco-toledo,El Greco a Toledo,controriforma,Controriforma,1577,1614,"Toledo, Spagna",2,14,La sepoltura del conte di Orgaz; Trinità
