id,title,current_period_id,proposed_period_id,status,note
santanna-madonna-bambino-giovannino-cartone,"Sant'Anna, la Madonna con il Bambino e san Giovannino (cartone)",rinascimento-maturo,,incerto,"Il celebre 'cartone Burlington House' (1499-1500 circa) è datato al momento di transizione tra il soggiorno milanese di Leonardo (corte sforzesca, fino a fine 1499) e il ritorno a Firenze: la letteratura non è concorde sul luogo esatto di esecuzione."
Immacolata-concezione-crivelli,Immacolata Concezione,rinascimento-maturo,rinascimento-maturo-italia-settentrionale,assegnato,"Carlo Crivelli, Immacolata Concezione (1492): pittore attivo nelle Marche, regione esplicitamente inclusa nella scuola 'Rinascimento maturo nell'Italia settentrionale' (1490-1550): rientra in questa scuola più specifica della corrente generica."
abbazia-fontenay-borgogna,Abbazia di Fontenay,romanico,cistercense,assegnato,"Abbazia di Fontenay (Borgogna), fondazione cistercense corrispondente alla voce gemella già presente nel lotto (chiesa-abbaziale-fontenay, già in cistercense); il campo città 'Firenze' appare un refuso."
addizione-borsiana,Addizione Borsiana,,scuola-ferrarese,assegnato,Ampliamento urbanistico di Ferrara voluto da Borso d'Este (1450-1471): rientra nella 'Scuola ferrarese'.
addizione-erculea,Addizione Erculea,,scuola-ferrarese,assegnato,"Grande ampliamento urbanistico di Ferrara voluto da Ercole I d'Este (Biagio Rossetti, dal 1492): rientra nella 'Scuola ferrarese', pur proseguendo il cantiere oltre il 1500."
adorazione-dei-magi,Adorazione dei Magi,,scuola-ferrarese,assegnato,"Cosme Tura, pittore di corte a Ferrara: rientra nella 'Scuola ferrarese' (Cambridge è la sede museale attuale)."
adorazione-dei-magi-cesare-da-sesto,Adorazione dei Magi,rinascimento-maturo-italia-settentrionale,rinascimento-maturo,assegnato,"Cesare da Sesto, opera eseguita a Napoli (1514-1520): la Campania non rientra fra le regioni della scuola 'rinascimento-maturo-italia-settentrionale' (Veneto, Lombardia, Emilia-Romagna, Marche), nonostante la formazione lombarda dell'autore; si corregge risalendo alla corrente generica per evitare una forzatura regionale."
adorazione-dei-magi-lorenzo-monaco,Adorazione dei Magi,tardogotico,gotico-cortese,assegnato,"Lorenzo Monaco a Firenze (1422), pittore di stile gotico internazionale elegante e cortese: rientra nella corrente Gotico cortese, più specifica del generico Tardogotico."
adorazione-dei-pastori-allendale-giorgione,Adorazione dei pastori (Adorazione Allendale),rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Giorgione, opera veneziana (1505-1510; 'Washington D.C.' e' la sede museale attuale): rientra nella scuola veneziana."
adorazione-del-bambino-bramantino,Adorazione del Bambino,rinascimento-maturo-italia-settentrionale,sforzesco,assegnato,"Bramantino attivo a Milano presso la corte sforzesca (1483-1485); la corrente 'rinascimento maturo' (dal 1490) non copre cronologicamente l'opera, mentre 'sforzesco' (1450-1535, Milano/Lombardia) è coerente."
adorazione-nella-foresta-lippi,Adorazione nella foresta (Adorazione del Bambino con Dio Padre e lo Spirito Santo alla presenza di san Giovanni Battista bambino e san Bernardino),quattrocento,rinascimento-fiorentino,assegnato,"Filippo Lippi, pittore fiorentino; 'Berlino' e' la sede museale attuale (Gemaldegalerie)."
affreschi-basilica-inferiore-san-clemente,Affreschi della basilica inferiore di San Clemente al Laterano,romanico-italiano,pittura-romanica-italiana,assegnato,"Affreschi romani (fine XI sec.): rientrano nella scuola Pittura romanica italiana (Lazio compreso, 1000-1250)."
affreschi-beno-rapiza-san-clemente,Affreschi di Beno e Maria de Rapiza (San Clemente),romanico-italiano,pittura-romanica-italiana,assegnato,"Ciclo pittorico romanico a Roma (San Clemente, 1080-1100 ca.): rientra pienamente nella scuola Pittura romanica italiana (Lazio incluso tra le regioni)."
affreschi-della-cappella-garganelli,Affreschi della cappella Garganelli,,scuola-ferrarese,assegnato,"Ercole de' Roberti, pittore di formazione e carriera ferrarese: pur eseguito a Bologna per la famiglia Garganelli (1487-1490), l'opera rientra nella 'Scuola ferrarese' cui l'artista appartiene stabilmente (fu poi pittore di corte estense dal 1486)."
affreschi-fondaco-dei-tedeschi-giorgione,Affreschi del Fondaco dei Tedeschi (Nuda),rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Giorgione a Venezia, Fondaco dei Tedeschi (1508): rientra nella scuola veneziana."
affreschi-fondaco-dei-tedeschi-tiziano,Affreschi del Fondaco dei Tedeschi (Giuditta),rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Tiziano a Venezia, Fondaco dei Tedeschi (1508-1509): rientra nella scuola veneziana."
affreschi-oratorio-suardi-lotto,Affreschi dell'oratorio Suardi,rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Lorenzo Lotto, oratorio Suardi a Trescore Balneario: pittore di formazione e classificazione veneziana (pur itinerante), riferito alla scuola veneziana."
affreschi-san-vincenzo-galliano,Affreschi della chiesa di San Vincenzo a Galliano,romanico-italiano,pittura-romanica-italiana,assegnato,"Ciclo pittorico di Galliano (Lombardia, dopo il 1018): rientra nella scuola Pittura romanica italiana (1000-1250, Italia settentrionale), piu specifica della sola corrente."
affreschi-sant-angelo-formis,Giudizio Universale e ciclo pittorico della chiesa di Sant'Angelo in Formis,romanico-italiano,pittura-romanica-italiana,assegnato,"Ciclo pittorico campano (1072-1086): rientra nella scuola Pittura romanica italiana (Campania compresa, 1000-1250)."
allegoria-sacra,Allegoria sacra,quattrocento,quattrocento-veneziano,assegnato,"Giovanni Bellini, pittore veneziano: rientra nella scuola 'Quattrocento veneziano' (Firenze è solo la sede museale attuale, Uffizi)."
altare-del-santo-padova,Altare del Santo (Altare maggiore della basilica di Sant'Antonio),quattrocento,rinascimento-padano,assegnato,"Donatello, Altare del Santo, Padova: scuola esistente 'Rinascimento padano' compatibile per luogo e data."
ambone-moscufo-nicodemo,Ambone,romanico,romanico-italiano,assegnato,"Opera italiana (Moscufo, Abruzzo): nessuna scuola specifica ma la corrente romanico-italiano è più specifica del contenitore epoca."
amor-sacro-e-amor-profano-tiziano,Amor sacro e Amor profano,rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Tiziano, opera commissionata ed eseguita a Venezia (1514-1515; 'Roma' indica solo la sede museale attuale, Galleria Borghese): rientra nella scuola veneziana."
angeli-adoranti-cappella-magi,Angeli adoranti (particolare del Corteo dei Magi),quattrocento,umanesimo-fiorentino,assegnato,"Particolare del ciclo di Benozzo Gozzoli nella Cappella dei Magi di Palazzo Medici, Firenze; allineato alla scuola gia' assegnata ad altra opera dello stesso ciclo nel lotto (corteo-dei-magi-gozzoli)."
annunciazione-cavalcanti,Annunciazione (detta Cavalcanti),quattrocento,umanesimo-fiorentino,assegnato,"Donatello a Santa Croce, Firenze: scuola piu specifica del generico Quattrocento."
annunciazione-corridoio-nord-san-marco,Annunciazione,quattrocento,umanesimo-fiorentino,assegnato,"Beato Angelico, convento di San Marco, Firenze: scuola piu specifica del generico Quattrocento."
annunciazione-e-visitazione-reims,Annunciazione e Visitazione (decorazione scultorea del Portale della Vergine),gotico,gotico-francese,assegnato,Scultura della cattedrale di Reims: dall'epoca generica 'gotico' alla corrente più specifica 'gotico-francese'.
annunciazione-lotto-1534,Annunciazione,rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Lorenzo Lotto, Recanati, 1534: pur dipinta nelle Marche, l'opera appartiene alla produzione del pittore di formazione e classificazione veneziana."
annunciazione-pontormo-cappella-capponi,Annunciazione (cappella Capponi),manierismo,primo-manierismo-fiorentino,assegnato,"Pontormo, cappella Capponi in Santa Felicita, Firenze, 1526-1528: opera manifesto del Primo Manierismo fiorentino, entro la finestra cronologica della scuola (1510-1530)."
antependium-basilea,Antependium di Basilea (paliotto d'altare),romanico,arte-ottoniana,assegnato,"Paliotto d'oro commissionato dall'imperatore Enrico II (ambito ottoniano tedesco, entro il 1024): piu specifico del generico Romanico, coerente con Arte ottoniana."
apocalisse-angers-battaglia,La bestia del mare (dall'Apocalisse di san Giovanni),gotico-internazionale,gotico-cortese,assegnato,"Arazzo di Nicolas Bataille per la corte d'Angiò (1376-1382, Francia): rientra nella corrente Gotico cortese, che elenca esplicitamente la Francia tra le sue regioni, più specifica del generico Gotico internazionale."
arcangelo-gabriele,Arcangelo Gabriele,,scuola-ferrarese,assegnato,Pannello ferrarese (attribuito a Francesco del Cossa o Ercole de Roberti): rientra nella 'Scuola ferrarese' (Venezia è la sede museale attuale).
arche-scaligere,Arche Scaligere,quattrocento,trecento-italiano,assegnato,"Monumenti funerari gotici veronesi del XIV secolo: la collocazione attuale in 'quattrocento' e un evidente errore di periodo (i sepolcri sono trecenteschi); si riporta al contenitore corretto Trecento italiano, non essendovi una scuola veronese dedicata nell'albero."
arco-trionfale-di-castel-nuovo,Arco trionfale di Castel Nuovo,quattrocento,rinascimento-napoletano,assegnato,"Arco trionfale di Castel Nuovo, commissionato da Alfonso V d'Aragona a Napoli (1452-1471): rientra nella scuola 'Rinascimento napoletano'."
assunta-tiziano,Assunta  (dei Frari),rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Tiziano, Basilica dei Frari, Venezia (1516-1518): rientra nella scuola veneziana."
autoritratto-con-pelliccia-durer,Autoritratto con pelliccia,rinascimento-maturo-italia-settentrionale,arte-tedesca-quattrocento,assegnato,"Autoritratto di Dürer (1500): stesso ragionamento delle altre opere di Dürer nel lotto, coerente con 'Arte tedesca del Quattrocento' (che arriva fino al 1500)."
autoritratto-leon-battista-alberti,Autoritratto di Leon Battista Alberti,quattrocento,umanesimo-fiorentino,assegnato,"Leon Battista Alberti, figura centrale dell'umanesimo architettonico fiorentino: scuola piu specifica del generico Quattrocento."
autoritratto-mascherone,Autoritratto (mascherone),,rinascimento-mantovano,assegnato,"Mascherone della volta della Camera degli Sposi, Mantova, commissione gonzaghesca (1465-1474): rientra nella scuola 'Rinascimento mantovano'."
bacco-e-arianna-tiziano,Bacco e Arianna,rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Tiziano (per il Camerino d'Alabastro di Alfonso d'Este, oggi Londra): opera della bottega veneziana di Tiziano, rientra nella scuola veneziana."
bambino-che-ride,Bambino che ride,quattrocento,rinascimento-fiorentino,assegnato,"Desiderio da Settignano, scultore fiorentino; 'Vienna' e' la sede museale attuale."
bartolomeo-roverella-tra-santi-maurelio-e-paolo,Bartolomeo Roverella tra santi Maurelio e Paolo,,scuola-ferrarese,assegnato,"Cosme Tura, opera legata al monumento funebre del cardinale Roverella: rientra nella 'Scuola ferrarese' (Roma è la destinazione del monumento, non il luogo di formazione dell'artista)."
basilica-di-san-lorenzo,Basilica di San Lorenzo,quattrocento,umanesimo-fiorentino,assegnato,"Basilica di San Lorenzo, Brunelleschi, Firenze (dal 1421): opera capitale del rinascimento fiorentino, si scende dal generico quattrocento alla scuola specifica."
basilica-di-santo-spirito,Basilica di Santo Spirito,quattrocento,umanesimo-fiorentino,assegnato,Architettura di Brunelleschi a Firenze: scuola piu specifica del generico Quattrocento.
basilica-san-nicola-bari,Basilica di San Nicola,romanico,romanico-italiano,assegnato,"Basilica pugliese (1087-1197, Maestro di Elia): rientra nella corrente Romanico italiano."
basilica-santabbondio-como,Basilica di Sant'Abbondio,romanico,romanico-italiano,assegnato,"Basilica di Como, Italia (1010-1095): rientra nella corrente Romanico italiano, piu specifica della sola epoca Romanico."
basilica-santambrogio-milano-romanica,Basilica di Sant'Ambrogio (ricostruzione romanica),romanico,romanico-italiano,assegnato,"Ricostruzione romanica della basilica di Sant'Ambrogio a Milano: rientra nella corrente Romanico italiano (edificio architettonico, non pittura, quindi non nella scuola Pittura romanica italiana)."
battaglia-di-san-romano,Battaglia di San Romano (trittico),quattrocento,umanesimo-fiorentino,assegnato,"Paolo Uccello, trittico per committenza fiorentina (Bartolini/Medici), oggi disperso in piu musei: scuola piu specifica del generico Quattrocento."
belle-verriere-chartres,La Belle Verrière (particolare della parte superiore),gotico,gotico-francese,assegnato,Vetrata della cattedrale di Chartres: dall'epoca generica 'gotico' alla corrente più specifica 'gotico-francese'.
bibbia-di-gutenberg,Bibbia di Gutenberg,,arte-tedesca-quattrocento,assegnato,"Bibbia di Gutenberg, Magonza (1454-1455): nessuna scuola specifica per la stampa tedesca esiste in albero; per luogo e data rientra nella scuola 'Arte tedesca del Quattrocento' (Germania, 1420-1500)."
biblioteca-san-marco,Sala della biblioteca nel convento di San Marco,quattrocento,umanesimo-fiorentino,assegnato,"Michelozzo, convento di San Marco a Firenze: scuola piu specifica del generico Quattrocento."
busto-di-eleonora-o-isabella-daragona,Busto di Eleonora (o Isabella) d'Aragona,,rinascimento-napoletano,assegnato,"Francesco Laurana, busto per la corte aragonese a Palermo (1487-1488): rientra nella scuola 'Rinascimento napoletano', cui l'attività di Laurana per la dinastia aragonese è convenzionalmente riferita, in assenza di una scuola siciliana dedicata."
busto-lorenzo-de-medici,Busto di Lorenzo de' Medici,rinascimento-fiorentino,rinascimento-maturo,assegnato,"Busto senza autore certo, datato 1513-1520: la scuola 'rinascimento-fiorentino' copre solo fino al 1500, la datazione supera quel limite; si corregge risalendo alla corrente generica."
busto-reliquiario-carlo-magno,Busto-reliquiario di Carlo Magno,gotico-internazionale,gotico-tedesco,assegnato,"Reliquiario di Aquisgrana (1349), ambito tedesco: rientra nella corrente Gotico tedesco, più specifica del generico Gotico internazionale."
ca-doro-venezia,Ca' d'Oro,tardogotico,gotico-cortese,assegnato,"Ca' d'Oro, bottega dei Bon, Venezia (1421-1440, Italia settentrionale), gotico veneziano permeato di gusto internazionale: rientra nella corrente Gotico cortese."
ca-vendramin-calergi,Ca' Vendramin Calergi,quattrocento,quattrocento-veneziano,assegnato,"Ca' Vendramin Calergi, Mauro Codussi, Venezia (dal 1481): rientra nella scuola 'Quattrocento veneziano', coerentemente con le altre opere veneziane coeve già classificate in questo lotto."
cacciata-di-adamo-ed-eva,Cacciata di Adamo ed Eva dal Paradiso terrestre,quattrocento,umanesimo-fiorentino,assegnato,"Masaccio, cappella Brancacci, Firenze (1425-1426): rientra nella scuola umanesimo-fiorentino, coerente con le altre opere dell'artista nel lotto."
caduta-manna-tintoretto-sala-grande,Caduta della manna,manierismo,scuola-veneziana,assegnato,"Tintoretto, Scuola Grande di San Rocco a Venezia: pittura veneziana matura."
camera-degli-sposi-oculo,Camera degli Sposi (particolare dell'oculo),quattrocento,rinascimento-mantovano,assegnato,"Andrea Mantegna per la corte dei Gonzaga a Mantova, Rinascimento mantovano."
camposanto-pisa,Camposanto monumentale di Pisa,romanico-italiano,gotico-italiano,assegnato,"Il Camposanto di Pisa (dal 1278, in stile gotico) non rientra nell'intervallo 1000-1200 della corrente romanico-italiano; più coerente con la corrente gotico-italiano (1228-1400)."
candelabra-e-angoloni-del-palazzo-dei-diamanti,Candelabra e angoloni del Palazzo dei Diamanti,,barocco,assegnato,"Aggiunta scultorea tardo-secentesca (1692) al Palazzo dei Diamanti di Ferrara: la 'Scuola ferrarese' copre solo fino al 1500 e non è pertinente; nessuna scuola specifica esiste per la Ferrara barocca, si assegna l'epoca 'Barocco'."
cantoria-donatello,Cantoria,quattrocento,umanesimo-fiorentino,assegnato,"Cantoria per il Duomo di Firenze, Donatello: scuola piu specifica del generico Quattrocento."
cantoria-luca-della-robbia,Cantoria,quattrocento,umanesimo-fiorentino,assegnato,"Cantoria per il Duomo di Firenze, Luca della Robbia: scuola piu specifica del generico Quattrocento."
capitello-quadriportico-santambrogio,Capitello del quadriportico,romanico,romanico-italiano,assegnato,Capitello dello stesso quadriportico milanese: rientra nella corrente Romanico italiano.
cappella-brancacci,Affreschi della cappella Brancacci,quattrocento,umanesimo-fiorentino,assegnato,"Affreschi di Masaccio, Masolino e Filippino Lippi, Firenze (1423-1428): rientra nella scuola umanesimo-fiorentino, coerente con le altre opere di Masaccio/Masolino nel lotto."
cappella-capponi-pontormo,Cappella Capponi (ciclo decorativo),manierismo,primo-manierismo-fiorentino,assegnato,"Pontormo, cappella Capponi, Firenze, 1526-1528: rientra nel Primo Manierismo fiorentino."
cappella-del-cardinale-del-portogallo,Cappella del Cardinale del Portogallo,,rinascimento-fiorentino,assegnato,"Cappella del Cardinale del Portogallo, Antonio Rossellino, San Miniato al Monte, Firenze (1461-1466): rientra nella scuola 'Rinascimento fiorentino'."
cappella-pazzi,Cappella Pazzi,quattrocento,umanesimo-fiorentino,assegnato,Architettura di Brunelleschi a Firenze: scuola piu specifica del generico Quattrocento.
cappella-piccolomini,Cappella Piccolomini,,rinascimento-napoletano,assegnato,"Cappella Piccolomini a Monteoliveto, Napoli, commissione della corte aragonese eseguita da scultori fiorentini (Rossellino, Benedetto da Maiano): rientra nella scuola 'Rinascimento napoletano'."
cappella-portinari-interno,Interno della cappella Portinari,umanesimo-lombardo,sforzesco,assegnato,"Cappella Portinari a Milano, cantiere del periodo sforzesco milanese piu' specifico del generico Umanesimo lombardo."
cappella-rucellai,Cappella Rucellai (con tempietto del Santo Sepolcro),quattrocento,rinascimento-fiorentino,assegnato,"Opera di Leon Battista Alberti a Firenze, Rinascimento fiorentino."
castello-sforzesco,Castello Sforzesco,,sforzesco,assegnato,"Castello Sforzesco di Milano, sede della corte sforzesca (1450-1466): rientra nella scuola 'Periodo sforzesco'."
cattedrale-san-ciriaco-ancona,Cattedrale di San Ciriaco,romanico,romanico-italiano,assegnato,Cattedrale marchigiana (fine XI sec.-1189): rientra nella corrente Romanico italiano.
cattedrale-san-geminiano-modena,Cattedrale di San Geminiano,romanico,romanico-italiano,assegnato,"Cattedrale di Modena (Lanfranco e Wiligelmo, 1099-1184): rientra nella corrente Romanico italiano."
cattedrale-san-nicola-pellegrino-trani,Cattedrale di San Nicola Pellegrino,romanico,romanico-italiano,assegnato,"Cattedrale pugliese (Barisano da Trani, 1099-1210): rientra nella corrente Romanico italiano."
certosa-di-pavia-facciata,Facciata della chiesa conventuale della Certosa delle Grazie,umanesimo-lombardo,sforzesco,assegnato,"Facciata della Certosa di Pavia, mausoleo dinastico sforzesco, piu' specifico del generico Umanesimo lombardo."
certosa-di-pavia-navata,Navata centrale della chiesa conventuale della Certosa delle Grazie,umanesimo-lombardo,sforzesco,assegnato,"Cantiere della Certosa di Pavia, mausoleo dinastico sforzesco, piu' specifico del generico Umanesimo lombardo."
certosa-presentazione-bergognone,Presentazione della Certosa alla Vergine da parte di Gian Galeazzo,umanesimo-lombardo,sforzesco,assegnato,"Affresco per la Certosa di Pavia, mausoleo dinastico visconteo-sforzesco, con il donatore Gian Galeazzo (Visconti/Sforza): più specifico collocarlo nel 'Periodo sforzesco' (di cui 'umanesimo-lombardo' è il genitore) che nella scuola generica lombarda."
chiesa-di-san-michele-in-isola,Chiesa di San Michele in Isola,quattrocento,quattrocento-veneziano,assegnato,"Chiesa di San Michele in Isola, Mauro Codussi, Venezia (1468-1479): rientra nella scuola 'Quattrocento veneziano'."
chiesa-di-san-sebastiano-mantova,Chiesa di San Sebastiano,quattrocento,rinascimento-mantovano,assegnato,"Chiesa albertiana commissionata dai Gonzaga a Mantova, rientra nel Rinascimento mantovano."
chiesa-di-sant-andrea-mantova,Chiesa di Sant'Andrea,quattrocento,rinascimento-mantovano,assegnato,"Chiesa albertiana commissionata dai Gonzaga a Mantova, Rinascimento mantovano."
chiesa-di-santa-maria-dei-miracoli,Chiesa di Santa Maria dei Miracoli,quattrocento,quattrocento-veneziano,assegnato,"Chiesa di Santa Maria dei Miracoli, Pietro Lombardo, Venezia (1481-1489): rientra nella scuola 'Quattrocento veneziano'."
chiesa-saint-benigne-digione,Chiesa di Saint-Bénigne a Digione,romanico,cluniacense,assegnato,"Rotonda di Guglielmo da Volpiano a Digione (1001-1018), esempio maggiore dell'architettura borgognona della riforma monastica coeva a Cluny, coerente con la corrente Arte cluniacense (Borgogna, 910-1150)."
chiesa-san-filiberto-tournus,Facciata della chiesa abbaziale di San Filiberto,romanico,cluniacense,assegnato,"Abbazia borgognona (Tournus, Saona e Loira), coerente per area e cronologia con la corrente Arte cluniacense (910-1150), piu specifica del generico Romanico."
chiesa-san-michele-pavia,Chiesa di San Michele,romanico,romanico-italiano,assegnato,Chiesa di Pavia (1090-1155): rientra nella corrente Romanico italiano.
ciclo-dei-mesi-torre-aquila-trento,Ciclo dei Mesi (Torre Aquila),tardogotico,gotico-cortese,assegnato,"Maestro Wenceslao a Trento (1390-1400, Italia settentrionale), esempio di gotico internazionale di corte: rientra nella corrente Gotico cortese."
ciclo-delle-storie-di-santorsola,Ciclo delle Storie di sant'Orsola,quattrocento,quattrocento-veneziano,assegnato,"Vittore Carpaccio, ciclo di Sant'Orsola, Venezia (1490-1497): rientra nella scuola 'Quattrocento veneziano', coerentemente con altre opere dello stesso ciclo già classificate nel database."
ciclo-di-dieci-teleri-dedicato-ai-miracoli-della-vera-croce,Ciclo di dieci teleri dedicato ai Miracoli della vera Croce,,quattrocento-veneziano,assegnato,"Gentile Bellini, ciclo dei Miracoli della Vera Croce, Venezia (dal 1493): rientra nella scuola 'Quattrocento veneziano', come altre opere dello stesso ciclo (es. 'La Processione in piazza San Marco') già presenti nel database."
ciclo-sala-inferiore-storie-vergine-tintoretto,Ciclo della Sala Inferiore (Storie della Vergine e dell'infanzia di Cristo),manierismo,scuola-veneziana,assegnato,"Tintoretto, Scuola Grande di San Rocco a Venezia: pittura veneziana matura."
cimasa-del-pala-di-pesaro-cristo-morto-sorretto-dalla-vergine,Cimasa del Pala di Pesaro (Cristo morto sorretto dalla Vergine),quattrocento,quattrocento-veneziano,assegnato,"Giovanni Bellini, cimasa della Pala di Pesaro: pur destinata a Pesaro, è opera di un pittore veneziano e rientra nella scuola 'Quattrocento veneziano', coerentemente con le altre opere di Bellini nel lotto."
cinocefali-isole-andamane-bedford,Cinocefali delle isole Andamane (pagina del Libro delle meraviglie),gotico-internazionale,gotico-cortese,assegnato,"Maestro di Bedford, Parigi (1412-1413, Francia): rientra nella corrente Gotico cortese, più specifica del generico Gotico internazionale."
circonscisione,Circonscisione,,scuola-ferrarese,assegnato,Cosme Tura: rientra nella 'Scuola ferrarese' (Boston è la sede museale attuale).
compianto-sul-cristo-morto,Compianto sul Cristo morto,,quattrocento,assegnato,"Niccolò dell'Arca, Compianto sul Cristo morto, Santa Maria della Vita, Bologna (1463-1490): nessuna scuola specifica per la Bologna quattrocentesca esiste in albero; si assegna la corrente generica 'Quattrocento'."
concerto-campestre-tiziano,Concerto campestre,rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Tiziano, opera veneziana (1509-1510; 'Parigi' e' la sede museale attuale, Louvre): rientra nella scuola veneziana."
convento-di-san-marco,Convento domenicano di San Marco,quattrocento,umanesimo-fiorentino,assegnato,"Michelozzo, convento domenicano a Firenze: scuola piu specifica del generico Quattrocento."
convito-casa-levi-veronese,Convito in casa di Levi (o Banchetto in casa di Levi),manierismo,scuola-veneziana,assegnato,"Paolo Veronese, pittura veneziana matura (Convito in casa di Levi, Venezia 1573)."
corteggio-della-duchessa-barbara-di-brandeburgo,Corteggio della duchessa Barbara di Brandeburgo (camera degli sposi),quattrocento,rinascimento-mantovano,assegnato,"Andrea Mantegna, Camera degli Sposi, Mantova, commissione gonzaghesca (1465-1474): rientra nella scuola 'Rinascimento mantovano'."
corteo-dei-magi,Corteo dei Magi,quattrocento,umanesimo-fiorentino,assegnato,"Stesso ciclo della Cappella dei Magi di Benozzo Gozzoli, Firenze; coerente con l'altra opera del ciclo gia' classificata come Umanesimo fiorentino."
cristo-alla-colonna-bramante,Cristo alla colonna,rinascimento-maturo,sforzesco,assegnato,"Disegno di Bramante, Milano 1490 circa, periodo dell'attività alla corte sforzesca."
cristo-come-albero-di-vite-lotto,Cristo come albero di vite,rinascimento-maturo-italia-settentrionale,scuola-veneziana,assegnato,"Lorenzo Lotto, oratorio Suardi a Trescore Balneario: stesso ciclo della voce precedente, scuola veneziana."
cristo-deriso-beato-angelico,Cristo deriso,quattrocento,umanesimo-fiorentino,assegnato,"Beato Angelico, convento di San Marco, Firenze: scuola piu specifica del generico Quattrocento."
